,player_pos,goal_pos,tier,original_reward,dist_to_goal,max_dist
3239,"(6, 15)","(16, 7)",0,0,18,25.0
3240,"(6, 15)","(16, 7)",0,0,18,25.0
3241,"(6, 14)","(16, 7)",0,0,17,25.0
3242,"(6, 14)","(16, 7)",0,0,17,25.0
3243,"(6, 14)","(16, 7)",0,0,17,25.0
3244,"(6, 14)","(16, 7)",0,0,17,25.0
3245,"(6, 13)","(16, 7)",0,0,16,25.0
3246,"(6, 13)","(16, 7)",0,0,16,25.0
3247,"(6, 13)","(16, 7)",0,0,16,25.0
3248,"(5, 13)","(16, 7)",0,0,17,25.0
3249,"(5, 13)","(16, 7)",0,0,17,25.0
3250,"(4, 13)","(16, 7)",0,0,18,25.0
3251,"(4, 13)","(16, 7)",0,0,18,25.0
3252,"(4, 13)","(16, 7)",0,0,18,25.0
3253,"(3, 13)","(16, 7)",0,0,19,25.0
3254,"(3, 13)","(16, 7)",0,0,19,25.0
3255,"(2, 13)","(16, 7)",0,0,20,25.0
3256,"(2, 13)","(16, 7)",0,0,20,25.0
3257,"(2, 13)","(16, 7)",0,0,20,25.0
3258,"(2, 13)","(16, 7)",0,0,20,25.0
3259,"(2, 13)","(16, 7)",0,0,20,25.0
3260,"(2, 13)","(16, 7)",0,0,20,25.0
3261,"(2, 13)","(16, 7)",0,0,20,25.0
3262,"(2, 13)","(16, 7)",0,0,20,25.0
3263,"(2, 13)","(16, 7)",0,0,20,25.0
3264,"(2, 13)","(16, 7)",0,0,20,25.0
3265,"(2, 13)","(16, 7)",0,0,20,25.0
3266,"(2, 13)","(16, 7)",0,0,20,25.0
3267,"(1, 13)","(16, 7)",0,0,21,25.0
3268,"(1, 13)","(16, 7)",0,0,21,25.0
3269,"(1, 13)","(16, 7)",0,0,21,25.0
3270,"(1, 13)","(16, 7)",0,0,21,25.0
3271,"(1, 13)","(16, 7)",0,0,21,25.0
3272,"(1, 13)","(16, 7)",0,0,21,25.0
3273,"(1, 13)","(16, 7)",0,0,21,25.0
3274,"(1, 13)","(16, 7)",0,0,21,25.0
3275,"(1, 13)","(16, 7)",0,0,21,25.0
3276,"(1, 13)","(16, 7)",0,0,21,25.0
3277,"(1, 13)","(16, 7)",0,0,21,25.0
3278,"(1, 13)","(16, 7)",0,0,21,25.0
3279,"(1, 13)","(16, 7)",0,0,21,25.0
3280,"(1, 13)","(16, 7)",0,0,21,25.0
3281,"(1, 14)","(16, 7)",0,0,22,25.0
3282,"(1, 14)","(16, 7)",0,0,22,25.0
3283,"(1, 14)","(16, 7)",0,0,22,25.0
3284,"(1, 14)","(16, 7)",0,0,22,25.0
3285,"(1, 14)","(16, 7)",0,0,22,25.0
3286,"(1, 14)","(16, 7)",0,0,22,25.0
3287,"(1, 14)","(16, 7)",0,0,22,25.0
3288,"(1, 14)","(16, 7)",0,0,22,25.0
3289,"(1, 14)","(16, 7)",0,0,22,25.0
3290,"(1, 14)","(16, 7)",0,0,22,25.0
3291,"(1, 14)","(16, 7)",0,0,22,25.0
3292,"(1, 14)","(16, 7)",0,0,22,25.0
3293,"(1, 14)","(16, 7)",0,0,22,25.0
3294,"(1, 14)","(16, 7)",0,0,22,25.0
3295,"(1, 14)","(16, 7)",0,0,22,25.0
3296,"(1, 14)","(16, 7)",0,0,22,25.0
3297,"(1, 14)","(16, 7)",0,0,22,25.0
3298,"(1, 14)","(16, 7)",0,0,22,25.0
